Model,Model Version,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_MAPE,Test_MAPE
SVR,Before Tuning,0.8790211126369565,0.8514230656397116,37211.91296687065,41790.94993495288,61728.28686261433,67460.36376172706,13.50830690946336,15.557462035250461
SVR,After Tuning,0.9082639687514095,0.8829948325773591,33798.66319802891,37350.002715288705,53752.59122687363,59865.34687846916,11.59111319515395,12.915590038811938
