Model,Model Version,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_MAPE,Test_MAPE
CatBoost,Before Tuning,0.911576059808583,0.88516687939627,32453.54561714763,36229.37297379943,52773.313449284964,59307.08322791185,10.839549211643664,12.07540241028093
CatBoost,After Tuning,0.9078135545769576,0.8916620760585183,33277.174087961524,35807.6473383124,53884.38940439381,57605.40530428804,11.167870944376732,12.023484133951747
