Model,Model Version,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_MAPE,Test_MAPE
XGBoost,Before Tuning,0.9439753261408083,0.8623714578244175,24616.17411394817,39169.77958574054,42006.7517029043,64927.28412307665,8.174942033568822,13.382353687611683
XGBoost,After Tuning,0.9171625167675191,0.8860054758599082,30978.03846867772,35878.99176404937,51079.057959011,59090.13430679185,10.323164734686985,12.106817514860573
